N,q,p,df,delta,trials,successes,success_rate,avg_attack_time
11,31,3,3,0.75,10,8,0.8,0.007289767265319824
11,31,3,3,0.85,10,8,0.8,0.002986574172973633
11,31,3,3,0.9,10,8,0.8,0.00303802490234375
11,31,3,3,0.95,10,9,0.9,0.00299532413482666
11,31,3,3,0.99,10,9,0.9,0.003031492233276367
11,63,3,3,0.75,10,10,1.0,0.0027405738830566405
11,63,3,3,0.85,10,10,1.0,0.006557464599609375
11,63,3,3,0.9,10,10,1.0,0.003716278076171875
11,63,3,3,0.95,10,10,1.0,0.0038323163986206054
11,63,3,3,0.99,10,10,1.0,0.0037992000579833984
11,127,3,3,0.75,10,10,1.0,0.0039018869400024416
11,127,3,3,0.85,10,10,1.0,0.004065823554992676
11,127,3,3,0.9,10,10,1.0,0.00498814582824707
11,127,3,3,0.95,10,10,1.0,0.0029902935028076174
11,127,3,3,0.99,10,10,1.0,0.0033605098724365234
11,257,3,3,0.75,10,10,1.0,0.0035666465759277345
11,257,3,3,0.85,10,10,1.0,0.0040190696716308595
11,257,3,3,0.9,10,10,1.0,0.0036931514739990236
11,257,3,3,0.95,10,10,1.0,0.011797857284545899
11,257,3,3,0.99,10,10,1.0,0.004255247116088867
11,2047,3,3,0.75,10,10,1.0,0.003416609764099121
11,2047,3,3,0.85,10,10,1.0,0.002778959274291992
11,2047,3,3,0.9,10,10,1.0,0.0037770986557006834
11,2047,3,3,0.95,10,10,1.0,0.0039512872695922855
11,2047,3,3,0.99,10,10,1.0,0.00808389186859131
23,31,3,7,0.75,10,0,0.0,0.01626737117767334
23,31,3,7,0.85,10,0,0.0,0.016335368156433105
23,31,3,7,0.9,10,1,0.1,0.017148828506469725
23,31,3,7,0.95,10,0,0.0,0.01465435028076172
23,31,3,7,0.99,10,0,0.0,0.014298295974731446
23,63,3,7,0.75,10,10,1.0,0.01860997676849365
23,63,3,7,0.85,10,10,1.0,0.015904736518859864
23,63,3,7,0.9,10,10,1.0,0.015199112892150878
23,63,3,7,0.95,10,10,1.0,0.017943263053894043
23,63,3,7,0.99,10,10,1.0,0.015896534919738768
23,127,3,7,0.75,10,10,1.0,0.016341018676757812
23,127,3,7,0.85,10,10,1.0,0.016244959831237794
23,127,3,7,0.9,10,10,1.0,0.01263740062713623
23,127,3,7,0.95,10,10,1.0,0.018053984642028807
23,127,3,7,0.99,10,10,1.0,0.01613771915435791
23,257,3,7,0.75,10,10,1.0,0.016345906257629394
23,257,3,7,0.85,10,10,1.0,0.016065645217895507
23,257,3,7,0.9,10,10,1.0,0.019916605949401856
23,257,3,7,0.95,10,10,1.0,0.016148996353149415
23,257,3,7,0.99,10,10,1.0,0.01453094482421875
23,2047,3,7,0.75,10,10,1.0,0.012944316864013672
23,2047,3,7,0.85,10,10,1.0,0.014459466934204102
23,2047,3,7,0.9,10,10,1.0,0.016058707237243654
23,2047,3,7,0.95,10,10,1.0,0.01997227668762207
23,2047,3,7,0.99,10,10,1.0,0.011517786979675293
31,31,3,10,0.75,10,0,0.0,0.01823601722717285
31,31,3,10,0.85,10,0,0.0,0.028425168991088868
31,31,3,10,0.9,10,0,0.0,0.034279036521911624
